title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
thor: the dark world,Alan Taylor,Marvel Studios,Chris Hemsworth,Natalie Portman,Tom Hiddleston,112.0,Action Adventure Fantasy,English,United States of America,170000000.0,644571402.0,2013.0
the great texas dynamite chase,Michael Pressman,New World Pictures,Claudia Jennings,Jocelyn Jones,Tara Strohmeier,90.0,Action Drama,English,United States of America,,,1976.0
fragment of fear,Richard C. Sarafian,Columbia Pictures Corporation,David Hemmings,Gayle Hunnicutt,Wilfrid Hyde-White,94.0,Mystery Thriller,English,United Kingdom,,,1970.0
shock and awe: the story of electricity,Tim Usborne John Eastman Alex Freeman,BBC The Open University,Jim Al-Khalili,unknown,unknown,180.0,Documentary,English,United Kingdom,,,2011.0
tortured,Nolan Lebovitz,Insight Film Studios Proud Mary Entertainment Tortured Productions Five Star Pictures,Cole Hauser,Laurence Fishburne,James Cromwell,107.0,Crime Thriller,English,Canada United States of America,,,2008.0
disfigured,Glenn Gers,unknown,Deidra Edwards,Staci Lawrence,Ryan C. Benson,96.0,Drama,English,unknown,,,2008.0
godzilla: tokyo s.o.s.,Masaaki Tezuka,Toho Film (Eiga) Co. Ltd.,Noboru Kaneko,Miho Yoshioka,Mitzuki Koga,91.0,Science Fiction Action,日本語,Japan,,12000000.0,2003.0
dallas buyers club,Jean-Marc Vallée,Universal Studios Universal Pictures Voltage Pictures Truth Entertainment,Matthew McConaughey,Jennifer Garner,Jared Leto,117.0,Drama History,English 日本語,United States of America,5000000.0,55198285.0,2013.0
gambit,Michael Hoffman,CBS Films FilmNation Entertainment Crime Scene Pictures Michael Lobell Productions ArtPhyl,Colin Firth,Tom Courtenay,Alan Rickman,89.0,Comedy Crime,English,United States of America,,1203942.0,2012.0
masquerade,Choo Chang-min,CJ Entertainment REALies,Lee Byung-hun,Ryu Seung-ryong,Han Hyo-joo,131.0,Drama,한국어/조선말,South Korea,2500000.0,8866.0,2012.0
marc maron: thinky pain,Lance Bangs,Avalon Television Ltd New Wave Entertainment Television Boomer Lives! Productions,Marc Maron,Sam Lipsyte,Tom Scharpling,90.0,Comedy,English,United States of America,,,2013.0
such hawks such hounds,John Srebalus Jessica Hundley,unknown,Stephen O'Malley,Ian Christe,Mario Lalli,84.0,Documentary Music,English,United States of America,75000.0,,2008.0
lessons of a dream,Sebastian Grobler,Senator Film Produktion Rialto Films ARD Degeto Film Cuckoo Clock Entertainment,Daniel Brühl,Burghart Klaußner,Thomas Thieme,113.0,Drama,Deutsch,Germany,6700000.0,1373312.0,2011.0
clash,Lê Thanh Sơn,Chanh Phuong Phim,Johnny Trí Nguyễn,Veronica Ngo,Hieu Hien,90.0,Action Thriller Romance Foreign,Tiếng Việt,Vietnam,,,2009.0
beatdown,Mike Gunther,Lionsgate Legacy Filmworks Gunny Entertainment Jugular Americana Films,Danny Trejo,Susie Abromeit,Desmond Aldridge,89.0,Adventure Action Thriller,English,United States of America,1000000.0,,2010.0
you may not kiss the bride,Rob Hedden,"Showcase Entertainment, Inc. Luminair Film Productions Hawaii Film Partners",Dave Annable,Katharine McPhee,Rob Schneider,97.0,Action Crime Comedy Romance,English,United States of America,,,2011.0
the selfish giant,Clio Barnard,British Film Institute (BFI) Film4 Moonspun Films,Conner Chapman,Shaun Thomas,Sean Gilder,91.0,Drama,English,United Kingdom,,12189.0,2013.0
changing sides,Pascale Pouzadoux,Procirep Wild Bunch Mars Distribution Fidélité Films TF1 Films Production Orange Cinéma Séries,Dany Boon,Sophie Marceau,Antoine Duléry,93.0,Comedy,Français,France,,,2008.0
the discreet,Christian Vincent,Greenwich Film Production 20th Century Fox,Fabrice Luchini,Judith Henry,Maurice Garrel,94.0,Romance Drama,Français,France,800000.0,,1990.0
bekas,Karzan Kader,Sonet Film AB,Zamand Taha,Sarwar Fazil,Diya Mariwan,97.0,Drama,ku,Sweden Finland Iraq,2000000.0,479226.0,2012.0
a touch of sin,Jia Zhangke,Office Kitano Xstream Pictures Shanghai Film Group,Jiang Wu,Wang Baoqiang,Zhao Tao,133.0,Drama,广州话 / 廣州話 普通话,China France Japan,4000000.0,154120.0,2013.0
more than honey,Markus Imhoof,Allegro Films Ormenis Film Thelma Film AG Zero One Film,Fred Jaggi,Randolf Menzel,John Miller,90.0,Documentary,English Français Deutsch 普通话,Switzerland Germany Austria,,,2012.0
the man who captured eichmann,William A. Graham,Butcher's Run Films Turner Pictures (I) Stan Margolies Company,Robert Duvall,Arliss Howard,Jeffrey Tambor,96.0,TV Movie Drama History War,עִבְרִית English Español,Argentina United States of America,,,1996.0
les patriotes,Eric Rochant,Gaumont Glem Production Les Productions Lazennec SFP,Yvan Attal,Yossi Banai,Nancy Allen,142.0,Drama Crime,Français עִבְרִית English,France,,,1994.0
looking for lenny,Elan Gale,unknown,Ahmed Ahmed,Shelley Berman,Sandra Bernhard,0.0,Documentary,English,unknown,,,2011.0
beau brummel,Harry Beaumont,Warner Bros.,John Barrymore,Mary Astor,Willard Louis,127.0,Drama,English,United States of America,343000.0,495000.0,1924.0
red garters,George Marshall,Paramount Pictures,Rosemary Clooney,Jack Carson,Guy Mitchell,91.0,Western,English,United States of America,,1300000.0,1954.0
les formidables,Min-Ho Cho,Mirovision,Park Joong-hoon,Cho Jin-woong,Chun Jung-myung,118.0,Crime Action,ko,South Korea,,,2006.0
how i live now,Kevin Macdonald,Cowboy Films Passion Pictures BFI Film Fund,Saoirse Ronan,George MacKay,Tom Holland,101.0,Drama Action Thriller War,English,United Kingdom,,,2013.0
girl most likely,Shari Springer Berman Robert Pulcini,10th Hole Productions Anonymous Content Ambush Entertainment Maven Pictures Foggy Bottom Pictures,Kristen Wiig,Annette Bening,Matt Dillon,103.0,Comedy,Română English,United States of America,,1378426.0,2012.0
hours,Eric Heisserer,The Safran Company PalmStar Entertainment Hours Capital,Paul Walker,Génesis Rodríguez,Nick Gomez,97.0,Drama Thriller,English,United States of America,4000000.0,,2013.0
free the mind,Phie Ambo,unknown,Richard Davidson,Travis Leanna,unknown,80.0,Documentary,English,Denmark Finland,,156143.0,2013.0
pieta,Kim Ki-duk,Good Film Company Finecut,Jo Min-soo,Lee Jung-Jin,Woo Ki-Hong,104.0,Drama,한국어/조선말,South Korea,103000.0,3623330.0,2012.0
stuck,Thaddaeus Scheel,Prodigy Pictures,Mariska Hargitay,Stephen Rea,Russell Hornsby,90.0,Crime Thriller,English,United States of America,5000000.0,151449.0,2013.0
errors of the human body,Eron Sheean,Instinctive Film XYZ Films High Five Films Pandastorm Pictures,Michael Eklund,Karoline Herfurth,Tómas Lemarquis,102.0,Science Fiction Thriller Drama,English,Germany,1500000.0,,2012.0
root of all evil?,Russell Barnes,unknown,Richard Dawkins,Ted Haggard,Yousef al-Khattab,93.0,Documentary,English,United States of America Israel France United Kingdom,,,2006.0
what if...,Dallas Jenkins,10 West Studios Jenkins Entertainment,Kevin Sorbo,Kristy Swanson,John Ratzenberger,111.0,Drama Comedy Romance Family,English,United States of America,,,2010.0
aziz ansari: buried alive,Will Lovelace Dylan Southern,unknown,Aziz Ansari,unknown,unknown,79.0,Comedy,English,United States of America,,,2013.0
aziz ansari: dangerously delicious,Jason Woliner,unknown,Aziz Ansari,unknown,unknown,61.0,Comedy,English,unknown,,,2012.0
24 hours on craigslist,Michael Ferris Gibson,Yerba Buena Productions Inc.,Rachel Berney,Mike Curtis,Holly Dalton,82.0,Documentary,English,unknown,,,2006.0
clandestine childhood,Benjamín Ávila,unknown,Natalia Oreiro,César Troncoso,Teo Gutiérrez Moreno,112.0,Drama,Español,Argentina,,,2011.0
libre échange,Serge Gisquière,Chapter 2,Carole Bouquet,Julie Depardieu,Serge Gisquière,75.0,Comedy Drama,Français,France,,,2010.0
free radicals: a history of experimental film,Pip Chodorov,unknown,Hans Richter,Peter Kubelka,Ken Jacobs,82.0,Documentary,English,France United States of America,,,2012.0
the reformer and the redhead,Melvin Frank Norman Panama,Metro-Goldwyn-Mayer (MGM),June Allyson,Dick Powell,David Wayne,90.0,Comedy Romance,English,United States of America,,,1950.0
great expectations,Mike Newell,BBC Films Unison Films Lipsync Productions Number 9 Films,Jeremy Irvine,Helena Bonham Carter,Ralph Fiennes,128.0,Drama Romance,English,United Kingdom United States of America,25000000.0,258656.0,2012.0
somm,Jason Wise,Forgotten Man Films,Bo Barrett,Shayn Bjornholm,Dave Cauble,93.0,Documentary,English Français Deutsch Italiano,United States of America,,,2013.0
amber alert,Kerry Bellessa,Underground Films\,Jasen Wade,Summer Bellessa,Chris Hill,81.0,Horror Mystery Thriller,English,United States of America,,,2012.0
free birds,Jimmy Hayward,Reel FX Creative Studios Relativity Media,Owen Wilson,Woody Harrelson,Amy Poehler,91.0,Animation Comedy Family,English,United States of America,55000000.0,110000000.0,2013.0
godzilla against mechagodzilla,Masaaki Tezuka,Toho Film (Eiga) Co. Ltd.,Yumiko Shaku,Shin Takuma,Kana Onodera,88.0,Action Foreign Horror Science Fiction,日本語,Japan,8500000.0,16000000.0,2002.0
latitude zero,Ishirô Honda,Ambassador Productions Don Sharpe Enterprises National General Pictures,Joseph Cotten,Cesar Romero,Akira Takarada,89.0,Science Fiction Adventure Action,English,Japan United States of America,,,1969.0
little ninjas,Emmett Alston,Newport Films,Douglas Ivan,Steven Nelson,Jonathan Anzaldo,85.0,Action Adventure,English,United States of America,,,1990.0
boy wonder,Michael Morrissey,Boy Wonder Films,James Russo,Tracy Middendorf,Zulay Henao,93.0,Action Crime Drama Thriller,English,United States of America,,,2010.0
the day lincoln was shot,John Gray,unknown,Rob Morrow,Lance Henriksen,Donna Murphy,95.0,Drama History,English,unknown,,,1998.0
beautiful dreamer: brian wilson and the story of smile,David Leaf,unknown,Brian Wilson,David Anderle,Hal Blaine,109.0,Documentary,English,unknown,,,2004.0
because you're mine,Alexander Hall,Metro-Goldwyn-Mayer (MGM),Mario Lanza,Doretta Morrow,James Whitmore,103.0,Comedy Music,English,United States of America,,,1952.0
bed & breakfast,Márcio Garcia,BB Film Productions FJ Productions,Dean Cain,Juliana Paes,Bill Engvall,89.0,Comedy Romance,Italiano English Português,United States of America,,,2010.0
the crew,Carl Colpaert,Cineville,Viggo Mortensen,Donal Logue,Jeremy Sisto,95.0,Horror Drama,English,United States of America,,,1994.0
breathing fire,Lou Kennedy Brandon Pender,unknown,Jerry Trimble,Jonathan Ke Quan,Eddie Saavedra,74.0,Action,English,United States of America,,,1991.0
bailey's billion$,David Devine,Echo Bridge Entertainment,Dean Cain,Laurie Holden,Jennifer Tilly,93.0,Family Comedy,English,unknown,9000000.0,,2005.0
the castle of the living dead,Warren Kiefer Luciano Ricci,Francinor Serena,Christopher Lee,Gaia Germani,Philippe Leroy,91.0,Horror,Italiano,France Italy,,,1964.0
the sword and the dragon,Aleksandr Ptushko,Mosfilm,Boris Andreyev,Andrei Abrikosov,Ninel Myshkova,93.0,Adventure Family Fantasy,Pусский,Russia,,,1956.0
the day the earth froze,Aleksandr Ptushko,Mosfilm Suomi-Filmi,Urho Somersalmi,Eve Kivi,Anna Orochko,90.0,Adventure Fantasy,suomi Pусский,Finland Russia,,,1959.0
silmido,Kang Woo-Suk,Hanmac Films,Sol Kyung-gu,Heo Jun-ho,Ahn Sung-Ki,135.0,Action Drama History,한국어/조선말,South Korea,8000000.0,,2003.0
snowball effect: the story of clerks,Phil Benson,View Askew Productions Miramax,Kevin Smith,Scott Mosier,Brian O'Halloran,92.0,Documentary,English,United States of America,,,2004.0
in tranzit,Tom Roberts,Thema Production Peace Arch Films,Daniel Brühl,Patrick Kennedy,Vera Farmiga,113.0,Drama Romance War,English Pусский,Russia United Kingdom,,,2007.0
the breed,Michael Oblowitz,ApolloProMovie First Look Pictures,Adrian Paul,Bokeem Woodbine,Bai Ling,91.0,Horror Action,English Français,South Africa Germany United States of America,,1675484.0,2001.0
beautiful wave,David Mueller,unknown,Lance Henriksen,Aimee Teegarden,Helen Slater,100.0,Drama,English,unknown,,,2011.0
things we do for love,Matti Ijäs,Sweet Films Aamu Film Company,Krista Kosonen,Tommi Korpela,Sampo Sarkola,96.0,Drama Comedy Romance,suomi Norsk,Finland,,,2013.0
last vegas,Jon Turteltaub,Laurence Mark Productions CBS Films Outlaw Sinema Good Universe Gidden Media,Robert De Niro,Morgan Freeman,Michael Douglas,105.0,Comedy,English,United States of America,28000000.0,134402450.0,2013.0
muscle shoals,Greg 'Freddy' Camalier,unknown,Gregg Allman,Bono,Clarence Carter,111.0,Documentary History Music,English,unknown,,,2013.0
so young,Zhao Wei,Enlight Pictures,Mark Chao,Han Geng,Yang Zishan,131.0,Romance Drama,普通话,China,,116000000.0,2013.0
the third sex,Veit Harlan,Arca-Filmproduktion GmbH,Paula Wessely,Ingrid Stenn,Christian Wolff,91.0,Drama,Deutsch,Germany,,,1957.0
the starving games,Jason Friedberg Aaron Seltzer,Louisiana Production Consultants,Brant Daugherty,Maiara Walsh,Lauren Bowles,83.0,Comedy,English,United States of America,4500000.0,,2013.0
w.c. fields and me,Arthur Hiller,Universal Pictures,Rod Steiger,Valerie Perrine,Jack Cassidy,111.0,Drama,English,United States of America,,,1976.0
outside the law,Jorge Montesi,Agence Algérienne pour le Rayonnement Culturel France 3 Cinéma Kissfilms Novak Prod StudioCanal RTBF,Cynthia Rothrock,Seamus Dever,Jonathan Dwayne,90.0,Action Thriller,English,United States of America,30000000.0,3470487.0,2002.0
apache territory,Ray Nazarro ,Columbia Pictures Corporation Rorvic Productions,Rory Calhoun,Barbara Bates,John Dehner,77.0,Action Western,English,United States of America,,,1958.0
apartment 4e,Russell Leigh Sharman,unknown,Nicole Beharie,Christopher J. Domig,unknown,87.0,Mystery Thriller Drama,English,unknown,,,2012.0
the super cops,Gordon Parks,Metro-Goldwyn-Mayer (MGM) Tom Ward Enterprises Winger St. Regis Films,Ron Leibman,David Selby,Sheila Frazier,90.0,Drama Comedy Action,English,United States of America,,,1974.0
panic button,Chris Crow,Movie Mogul Films,Scarlett Alice Johnson,Jack Gordon,Michael Jibson,96.0,Horror Thriller,English,United Kingdom,,,2011.0
painless,Juan Carlos Medina,Ibermedia Eurimages Canal+ Cofimage Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC) Fado Filmes Roxbury Pictures Tobina Film Les Films d'Antoine Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA) A Contracorriente Films,Àlex Brendemühl,Tómas Lemarquis,Derek de Lint,105.0,Horror Mystery Fantasy Thriller,English Català Español Deutsch,France Portugal Spain,,,2012.0
the lords of discipline,Franc Roddam,Paramount Pictures,David Keith,Robert Prosky,G. D. Spradlin,102.0,Drama Thriller,English,United States of America,,11787127.0,1983.0
won ton ton: the dog who saved hollywood,Michael Winner,Paramount Pictures,Bruce Dern,Madeline Kahn,Art Carney,92.0,Comedy Family,English,United States of America,,,1976.0
the fairy king of ar,Paul Matthews,Bridge Entertainment Group,Corbin Bernsen,Jameson Baltes,Brittney Bowman,91.0,Fantasy Adventure Family,English svenska,United States of America,,,1998.0
a bucket of blood,Michael McDonald,Showtime Networks Concorde-New Horizons,Anthony Michael Hall,Justine Bateman,Shadoe Stevens,83.0,Thriller Comedy Horror,English,United States of America,50000.0,,1995.0
buttcrack,Jim Larsen,Troma Entertainment,Doug Ciskowski,Caleb Kreischer,Kathy Wittes,68.0,Horror,English,United States of America,,,1998.0
card subject to change,Tim Disbrow,ShoreFront Entertainment Iron River Films,Terry Funk,Dylan Keith Summers,Kevin Sullivan,87.0,Documentary,English,United States of America,,,2010.0
stephen tobolowsky's birthday party,Robert Brinkmann,unknown,Stephen Tobolowsky,Ann Hearn,Mena Suvari,87.0,Documentary,English,unknown,,,2006.0
the wonderful crook,Claude Goretta,Artco Films Citel Films,Gérard Depardieu,Marlène Jobert,Dominique Labourier,90.0,Comedy Drama,Français,Switzerland France,,,1974.0
cash truck,Nicolas Boukhrief,Eskwad Canal+ CinéCinéma Contre Prod,Albert Dupontel,Jean Dujardin,François Berléand,95.0,Action Drama Crime,Français,France,,,2004.0
the conclave,Christoph Schrewe,Studio Hamburg International Production Saltire Entertainment Alexander Sextus,Brian Blessed,James Faulkner,Rolf Kanies,100.0,Drama History,English,Canada Germany,4000000.0,,2006.0
making the boys,Crayton Robey,4th Row Films,William Friedkin,Mart Crowley,Larry Kramer,90.0,Documentary,English,United States of America,,33833.0,2011.0
seduced and abandoned,James Toback,Lux Film Ultra Film Vides Cinematografica Lux Compagnie Cinématographique de France,Alec Baldwin,Bérénice Bejo,Bernardo Bertolucci,100.0,Documentary,English,United States of America,,,2013.0
absent,Marco Berger,Oh My Gomez! Films,Carlos Echevarría,Javier De Pietro,Antonella Costa,87.0,Drama Thriller,Español,Argentina,,,2011.0
the institute,Spencer McCall,Dark Rabbit Productions Redwire Pictures Campbell Grobman Films Jeff Rice Films,Arye Bender,Jeff Hull,Gordon McLaughlin,92.0,Documentary Crime Mystery,English,United States of America,3000000.0,,2013.0
dreamworld,Ryan Darst,unknown,Whit Hertford,Mary Kate Wiles,Nora Kirkpatrick,92.0,Comedy Romance Drama,English,unknown,,,2012.0
chasing ghosts: beyond the arcade,Lincoln Ruchti,Men At Work,Billy Mitchell,Walter Day,Steve Sanders,90.0,Documentary,English,United States of America,,,2007.0
chillers,Daniel Boyd,Troma Entertainment,Jesse Emery,Marjorie Fitzsimmons,Laurie Pennington,91.0,Horror,English,United States of America,250000.0,,1987.0
for those in peril,Paul Wright,Warp Films Warp X,George MacKay,Michael Smiley,Nichola Burley,93.0,Drama,English,United States of America,,,2013.0
philomena,Stephen Frears,BBC Films The Weinstein Company Baby Cow Productions Pathé Yucaipa Films Magnolia Mae Films,Judi Dench,Steve Coogan,Sophie Kennedy Clark,98.0,Drama,English,United Kingdom,12000000.0,100129872.0,2013.0
the book thief,Brian Percival,Studio Babelsberg Fox 2000 Pictures Sunswept Entertainment,Geoffrey Rush,Sophie Nélisse,Emily Watson,131.0,Drama,English Deutsch,Germany United States of America,,76586316.0,2013.0
the best man holiday,Malcolm D. Lee,Universal,Terrence Howard,Harold Perrineau,Моррис Честнат,123.0,Comedy,English,United States of America,17000000.0,71625195.0,2013.0
chicago overcoat,Brian Caunter,Chicago Overcoat Productions Beverly Ridge Pictures,Frank Vincent,Kathrine Narducci,Mike Starr,95.0,Action Crime Thriller,English,United States of America,3200000.0,,2009.0
ida,Paweł Pawlikowski,Danish Film Institute Portobello Pictures Eurimages Canal+ Polska Opus Film Polski Instytut Sztuki Filmowej Phoenix Film Investments City of Lodz Phoenix Film Poland,Agata Trzebuchowska,Agata Kulesza,Dawid Ogrodnik,80.0,Drama,Polski,Denmark France Poland United Kingdom,2159280.0,15298355.0,2013.0
metal brothers,Ulf Malmros,BOB Film Sweden AB,Lotta Tejle,Johan Östling,Björn Starrin,100.0,Comedy,svenska,Sweden,,,2012.0
the tiger from tjampa,D. Djajakusuma,PERFINI,Bambang Hermanto,Nurnaningsih,Titi Savitri,97.0,Drama,Bahasa indonesia,Indonesia,,,1953.0
the curse of the oily maniac,P. Ramlee,Malay Film Productions Ltd.,P. Ramlee,Daeng Idris,Ali Rahman,91.0,Action Mystery,Bahasa melayu,Singapore,,,1956.0
parineeta,Bimal Roy,Ashok Kumar Productions,Ashok Kumar,Meena Kumari,Asit Baran,151.0,Family Drama,हिन्दी,India,6250000.0,,1953.0
aningaaq,Jonás Cuarón,unknown,Orto Ignatiussen,Lajla Lange,Maligiaq Fredeik,7.0,Drama,English ,United States of America,,,2013.0
the white shadow,Graham Cutts,unknown,Betty Compson,Clive Brook,Henry Victor,44.0,Drama,English,United Kingdom,,,1924.0
one piece film strong world,Munehisa Sakai,Shueisha Toei Animation,Mayumi Tanaka,Kazuya Nakai,Hiroaki Hirata,114.0,Animation Fantasy Adventure,日本語,Japan,,53000000.0,2009.0
one piece film z,Tatsuya Nagamine,Toei Animation Yasahi-Mation Productions,Mayumi Tanaka,Kazuya Nakai,Akemi Okamura,108.0,Action Animation Adventure,日本語,Japan,,74223861.0,2012.0
caught inside,Adam Blaiklock,unknown,Ben Oxenbould,Daisy Betts,Sam Lyndon,93.0,Thriller Foreign,English,Australia,,,2010.0
all mine to give,Allen Reisner,Sam Wiesenthal Productions,Glynis Johns,Cameron Mitchell,Rex Thompson,103.0,Drama Romance Family,English,United States of America,,,1957.0
china o'brien,Robert Clouse,Golden Harvest Company Fred Weintraub Productions,Cynthia Rothrock,Richard Norton,Keith Cooke,86.0,Action Thriller,English,United States of America,,,1990.0
the hunger games: catching fire,Francis Lawrence,Lionsgate Color Force,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,146.0,Adventure Action Science Fiction,English,United States of America,130000000.0,847423452.0,2013.0
the hobbit: the desolation of smaug,Peter Jackson,WingNut Films New Line Cinema Warner Bros. Pictures Metro-Goldwyn-Mayer (MGM),Martin Freeman,Ian McKellen,Richard Armitage,161.0,Adventure Fantasy,English,New Zealand United States of America,250000000.0,958400000.0,2013.0
47 ronin,Carl Rinsch,Mid Atlantic Films Stuber Productions Universal Moving Picture Company (MPC) H2F Entertainment,Keanu Reeves,Hiroyuki Sanada,Kou Shibasaki,119.0,Drama Action Adventure Fantasy,English 日本語,United States of America,175000000.0,150962475.0,2013.0
the scarlet letter,Wim Wenders,Westdeutscher Rundfunk (WDR),Senta Berger,Hans Christian Blech,Lou Castel,90.0,Drama Foreign,Deutsch,Germany Spain,50000000.0,10382407.0,1973.0
the girl from nowhere,Jean-Claude Brisseau,La Sorcière Rouge,Jean-Claude Brisseau,Virginie Legeay,Claude Morel,91.0,Drama,Français,France,,,2013.0
the magic voyage of sinbad,Aleksandr Ptushko,Mosfilm,Sergei Stolyarov,Alla Larionova,Ninel Myshkova,80.0,Action Adventure Family Fantasy,Pусский,Russia,,,1952.0
the chameleon,Jean-Paul Salomé,Lleju Productions,Famke Janssen,Nick Stahl,Marc-André Grondin,106.0,Drama Mystery Thriller,English Français Español,Canada France United States of America,,,2010.0
the enemies of reason,Russell Barnes,unknown,Richard Dawkins,Derren Brown,Deepak Chopra,96.0,Documentary,English,United Kingdom,,,2007.0
world war ii: when lions roared,Joseph Sargent,unknown,Michael Caine,John Lithgow,Bob Hoskins,115.0,Drama History War,English,unknown,,,1994.0
the dyatlov pass incident,Renny Harlin,Non-Stop Productions Future Films Aldamisa Entertainment Midnight Sun Pictures K. JAM Media,Gemma Atkinson,Richard Reid,Matt Stokoe,100.0,Thriller Mystery,English,United Kingdom United States of America Russia,,5217347.0,2013.0
"it's the easter beagle, charlie brown",Phil Roman,Lee Mendelson Film Productions Bill Melendez Productions United Feature Syndicate (UFS) Charles M. Schulz Creative Associates,Todd Barbee,Melanie Kohn,Stephen Shea,30.0,Animation Family,English,United States of America,,,1974.0
vali,Çağatay Tosun,Koliba Film,Erdal Besikçioglu,ismail Hacıoğlu,Uğur Polat,0.0,History Drama,Türkçe,Turkey,,,2009.0
wikirebels: the documentary,Bosse Lindquist,unknown,Julian Assange,Daniel Domscheidt-Berg,unknown,58.0,Documentary,English svenska Íslenska العربية,Sweden,,,2010.0
beyond the time barrier,Edgar G. Ulmer,Miller Consolidated Pictures (MCP),Robert Clarke,Darlene Tompkins,Vladimir Sokoloff,75.0,Romance Science Fiction,English,United States of America,125000.0,,1960.0
the flight that disappeared,Reginald Le Borg,Robert E. Kent Productions,Craig Hill,Paula Raymond,Dayton Lummis,71.0,Science Fiction Thriller,English,United States of America,,,1961.0
the crystal ball,Elliott Nugent,Paramount Pictures,Paulette Goddard,Ray Milland,Gladys George,81.0,Comedy,English,United States of America,,,1943.0
flesh,Paul Morrissey,Factory Films,Joe Dallesandro,Geraldine Smith,Patti D'Arbanville,105.0,Drama,English,United States of America,,,1968.0
delivery man,Ken Scott,DreamWorks SKG Touchstone Pictures,Vince Vaughn,Cobie Smulders,Chris Pratt,105.0,Comedy,English,United States of America,26000000.0,51164106.0,2013.0
charlie countryman,Fredrik Bond,Bona Fide Productions MediaPro Pictures,Shia LaBeouf,Evan Rachel Wood,Mads Mikkelsen,108.0,Action Comedy Drama Romance Thriller,English Română,United States of America,,11650.0,2013.0
