title,director_name,production_companies,actor_1_name,actor_2_name,actor_3_name,duration,genres,language,country,budget,revenue,year
detour,Severin Eskeland,Exposed Film Productions AS,Jens Hultén,Jeppe Beck Laursen,Severin Eskeland,77.0,Horror Thriller,Norsk svenska,Norway,2200000.0,,2009.0
unthinkable,Gregor Jordan,Sidney Kimmel Entertainment Senator Entertainment Co ChubbCo Film Lleju Productions Kimmel International,Samuel L. Jackson,Carrie-Anne Moss,Michael Sheen,97.0,Drama Thriller,English Magyar,United States of America,15000000.0,,2010.0
the other side of midnight,Charles Jarrott,Frank Yablans Presentations,Marie-France Pisier,John Beck,Susan Sarandon,165.0,Drama Romance Thriller,English,United States of America,,,1977.0
our dancing daughters,Harry Beaumont,Metro-Goldwyn-Mayer (MGM),Joan Crawford,Johnny Mack Brown,Nils Asther,84.0,Drama Romance,English,United States of America,178000.0,1099000.0,1928.0
betrayal,David Hugh Jones,Horizon Pictures (II),Jeremy Irons,Ben Kingsley,Patricia Hodge,95.0,Drama,Deutsch,United Kingdom,,,1983.0
romeo and juliet,George Cukor,Metro-Goldwyn-Mayer (MGM),Norma Shearer,Leslie Howard,John Barrymore,125.0,Drama Romance,English,United States of America,,38901218.0,1936.0
the drawn together movie: the movie!,Greg Franklin,Comedy Central Six Point Harness,Adam Carolla,Abbey DiGregorio,Jess Harnell,70.0,Animation Comedy,English,United States of America,,,2010.0
it's good to be alive,Michael Landon,Metromedia Producers Corporation,Paul Winfield,"Louis Gossett, Jr.",Ruby Dee,100.0,Drama,English,United States of America,,,1974.0
friendship!,Markus Goller,Mr. Brown Entertainment Filmproduction GmbH (Potsdam) SevenPictures Wiedemann & Berg Filmproduktion Deutsche Columbia TriStar Filmproduktion barefoot films Sony Pictures Releasing,Matthias Schweighöfer,Friedrich Mücke,Alicja Bachleda-Curuś,110.0,Comedy,Deutsch,Germany United States of America,,,2010.0
the back-up plan,Alan Poul,Escape Artists CBS Films,Jennifer Lopez,Alex O'Loughlin,Danneel Ackles,106.0,Comedy Romance,English,United States of America,35000000.0,77477008.0,2010.0
splice,Vincenzo Natali,Gaumont Dark Castle Entertainment Senator Entertainment Co Copperheart Entertainment,Adrien Brody,Sarah Polley,Delphine Chanéac,104.0,Horror Thriller Science Fiction,English,Canada France United States of America,26000000.0,,2009.0
tales from the golden age,Cristian Mungiu Hanno Höfer Constantin Popescu Ioana Uricaru Razvan Marculescu,Why Not Productions Mobra Films,Tania Popa,Diana Cavallioti,Radu Iacoban,155.0,Comedy History Foreign,Română,Romania France,,,2009.0
may fools,Louis Malle,Ellepi Films,Michel Piccoli,Miou-Miou,Michel Duchaussoy,107.0,Comedy Romance,English Français,France Italy,,,1990.0
a tale of winter,Éric Rohmer,C.E.R.,Charlotte Véry,Frédéric van den Driessche,Michel Voletti,114.0,Comedy Foreign,Français,France,,213687.0,1992.0
hail mary,Jean-Luc Godard,Gaumont Sara Films JLG Films Pégase Films,Myriem Roussel,Thierry Rode,Philippe Lacoste,72.0,Drama,Français,United Kingdom France Switzerland,,,1985.0
no one knows about persian cats,Bahman Ghobadi,Mij Film Co. Mitosfilm,Negar Shaghaghi,Ashkan Koshanejad,Hamed Behdad,106.0,Drama,فارسی,Iran,,,2009.0
burnt by the sun 2: intercession,Nikita Mikhalkov,Three T Productions Golden Eagle Ministry of Culture of the Russian Federation,Nikita Mikhalkov,Oleg Menshikov,Evgeny Mironov,180.0,Drama War,Pусский,Russia,55000000.0,,2010.0
the knack... and how to get it,Richard Lester,Woodfall Film Productions,Rita Tushingham,Ray Brooks,Michael Crawford,84.0,Comedy Romance,English,United Kingdom,,,1965.0
el greco,Yannis Smaragdis,Greek Film Center Hellenic Radio & Television (ERT) Graal Ministerio de Cultura Instituto de Crédito Oficial (ICO) Generalitat de Catalunya - Institut Català de les Indústries Culturals (ICIC) Hellenic Culture Organization Le Spot Max Productions Motion Picture Public Foundation of Hungary,Nick Ashdon,Juan Diego Botto,Laia Marull,119.0,Drama Foreign,English ελληνικά Italiano Español,Greece Spain Hungary,,,2007.0
adulthood,Noel Clarke,Pathé Pictures International Cipher Films,Noel Clarke,Danny Dyer,Adam Deacon,99.0,Crime Drama,English,United Kingdom,,,2008.0
letters to juliet,Gary Winick,Summit Entertainment Applehead Pictures,Amanda Seyfried,Christopher Egan,Gael García Bernal,105.0,Comedy Drama Romance,English Italiano Español,United States of America,30000000.0,82148538.0,2010.0
the descent: part 2,Jon Harris,Celador Films,Shauna Macdonald,Natalie Mendoza,Gavin O'Herlihy,94.0,Adventure Horror Thriller,English,United Kingdom,6000200.0,7048886.0,2009.0
the 41–year–old virgin who knocked up sarah marshall and felt superbad about it,Craig Moss,Silver Nitrate Films,Bryan Callen,Noureen DeWulf,Mircea Monroe,82.0,Comedy,English Pусский,United States of America,1300000.0,,2010.0
the reenactment,Lucian Pintilie,Filmstudio Bucuresti,George Constantin,Emil Botta,George Mihaiță,100.0,Drama,Română,Romania,200000.0,,1968.0
the beautiful person,Christophe Honoré,Arte France Scarlett Production,Louis Garrel,Léa Seydoux,Grégoire Leprince-Ringuet,97.0,Drama,Français Italiano Pусский English,France,,,2008.0
mermaid,Anna Melikyan,Magnum Central Partnership,Mariya Shalayeva,Yevgeni Tsyganov,Mariya Sokova,115.0,Comedy Drama Fantasy,Pусский,Russia,,,2007.0
humble pie,Chris Bowman,unknown,Mary Lynn Rajskub,Hubbel Palmer,Kathleen Quinlan,94.0,Comedy,English,unknown,,,2007.0
gervaise,René Clément,Silver Films Cino del Duca Compagnie Industrielle et Commerciale Cinématographique (CICC) Agnes Delahaie Productions,Maria Schell,François Périer,Jany Holt,112.0,Romance Drama,Français,France,,,1956.0
wonderful world,Joshua Goldin,J.C.STAFF KADOKAWA Sammy Nippon Columbia Sony Music Entertainment MAGES. KADOKAWA Media House 81 Produce Toranoana,Matthew Broderick,Sanaa Lathan,Michael Kenneth Williams,89.0,Comedy Drama Romance,English,United States of America,,,2009.0
the song of sparrows,Majid Majidi,Majid Majidi Film Production,Mohammad Amir Naji,Hamid Aghazi,Kamran Dehghan,96.0,Drama,فارسی,Iran,,115605.0,2008.0
exam,Stuart Hazeldine,Hazeldine Films Bedlam Productions,Luke Mably,Adar Beck,Chris Carey,101.0,Thriller Mystery,广州话 / 廣州話 English Français,United Kingdom,600000.0,394717.0,2009.0
"go, go second time virgin",Kōji Wakamatsu,Wakamatsu Production,Michio Akiyama,Mimi Kozakura,Hiroshi Imaizumi,65.0,Drama Foreign,日本語,Japan,,,1969.0
the corridor,Šarūnas Bartas,Why Not Productions Hubert Bals Fund Ministry of Culture Lithuania,Daiva Ksivickiene,Mantvydas Janeliunas,Yekaterina Golubeva,85.0,Drama,unknown,Germany Lithuania,,,1994.0
no time for comedy,William Keighley,Warner Bros. Pictures,James Stewart,Rosalind Russell,Charles Ruggles,98.0,Comedy Romance,English,United States of America,,,1940.0
how to be,Oliver Irving,How To Be Films,Robert Pattinson,Powell Jones,Johnny White,85.0,Comedy Drama Foreign,English,United Kingdom,500000.0,112343513.0,2008.0
la roue,Abel Gance,Films Abel Gance,Séverin-Mars,Ivy Close,Gabriel de Gravone,273.0,Drama,unknown,France,,,1923.0
the knot,Alexander Sokurov,Beactive Entertainment Unstoppable Entertainment New Treatment,Noel Clarke,Mena Suvari,Matthew McNulty,180.0,Documentary,Pусский,United Kingdom,,,2000.0
blood wedding,Carlos Saura,Emiliano Piedra P.C.,Antonio Gades,Cristina Hoyos,Juan Antonio Jiménez,67.0,Music Drama,Español,Spain,,,1981.0
it happened tomorrow,René Clair,Arnold Pressburger Films,Dick Powell,Linda Darnell,Jack Oakie,85.0,Fantasy Comedy Science Fiction,Italiano English,United States of America,,,1944.0
salaam-e-ishq,Nikhil Advani,Eros International Orion Films,Salman Khan,Priyanka Chopra,Anil Kapoor,216.0,Drama Foreign Romance,हिन्दी,India,5100000.0,4300000.0,2007.0
chance pe dance,Ken Ghosh,UTV Motion Pictures,Shahid Kapoor,Genelia D'Souza,Satish Shah,158.0,Drama Romance Foreign,हिन्दी,India,,,2010.0
bless the beasts & children,Stanley Kramer,Stanley Kramer Productions,Bill Mumy,Barry Robins,Miles Chapin,109.0,Comedy Drama,English,United States of America,,,1971.0
whoopee!,Thornton Freeland,"Samuel Goldwyn Company, The",Eddie Cantor,Ethel Shutta,Paul Gregory,93.0,Music Comedy,English,United States of America,,,1930.0
dr. ehrlich's magic bullet,William Dieterle,Warner Bros.,Edward G. Robinson,Ruth Gordon,Otto Kruger,103.0,Drama History,English,United States of America,,,1940.0
the house on telegraph hill,Robert Wise,Twentieth Century Fox Film Corporation,Richard Basehart,Valentina Cortese,William Lundigan,93.0,Drama Mystery Thriller,English,United States of America,,,1951.0
how about you...,Anthony Byrne,Ferndale Films Sarah Radclyffe Productions Lipsync Productions Bankside Films Head Gear Films RTÉ Northern Ireland Screen Fís Éireann/Screen Ireland Prescience Film Partners 2.1,Vanessa Redgrave,Brenda Fricker,Joss Ackland,100.0,Comedy Drama,English,Ireland,9000000.0,706000.0,2007.0
edge of the city,Martin Ritt,David Susskind Productions Jonathan Productions,John Cassavetes,Sidney Poitier,Jack Warden,85.0,Drama,English,United States of America,,,1957.0
no greater love,Brad J. Silverman,Ninjin Club,Anthony Tyler Quinn,Danielle Bisutti,Jay Underwood,109.0,Documentary Romance,English,Japan,,,2009.0
a woman in berlin,Max Färberböck,Tempus Zweites Deutsches Fernsehen (ZDF) Constantin Film Produktion,Nina Hoss,Evgeniy Sidikhin,Juliane Köhler,131.0,Drama War,ქართული Deutsch Pусский,Germany,,1863939.0,2008.0
talhotblond,Barbara Schroeder,Lasky Productions Sony Pictures Television Studios Silver Screen Pictures Motion Picture Corporation of America,Garret Dillahunt,Brando Eaton,Laura San Giacomo,83.0,Documentary,English,United States of America,,,2009.0
godspeed,Robert Saitzyk,Illegal Civilization,Cory Knauf,Ed Lauter,Courtney Halverson,99.0,Comedy Drama Family Horror Mystery Thriller,English,United States of America,,,2009.0
tortilla flat,Victor Fleming,Metro-Goldwyn-Mayer (MGM),Spencer Tracy,Hedy Lamarr,John Garfield,105.0,Romance Drama Comedy,English,United States of America,,,1942.0
three little words,Richard Thorpe,Metro-Goldwyn-Mayer (MGM),Fred Astaire,Red Skelton,Vera-Ellen,102.0,Comedy Music Romance,English,United States of America,1470000.0,4526000.0,1950.0
jonah hex,Jimmy Hayward,Warner Bros.,Josh Brolin,John Malkovich,Megan Fox,80.0,Action Western Drama Fantasy Thriller,English,United States of America,47000000.0,10539000.0,2010.0
the a-team,Joe Carnahan,Ingenious Film Partners Twentieth Century Fox Film Corporation Dune Entertainment Scott Free Productions Top Cow Productions Stephen J. Cannell Productions Big Screen Productions Phoenix Film Partners,Liam Neeson,Bradley Cooper,Jessica Biel,117.0,Thriller Action Adventure Comedy Crime,Deutsch English Español Français Kiswahili,United States of America,110000000.0,177238796.0,2010.0
gigot,Gene Kelly,Seven Arts Productions,Jackie Gleason,Katherine Kath,Gabrielle Dorziat,104.0,Drama,English,United States of America,,,1962.0
dhoondte reh jaoge,Umesh Shukla,unknown,Paresh Rawal,Kunal Khemu,Sonu Sood,135.0,Comedy Foreign,हिन्दी,India,,,2009.0
othello,Stuart Burge,BHE Films Warner Bros. National Theatre of Great Britain Production,Laurence Olivier,Maggie Smith,Joyce Redman,165.0,Drama,English,United Kingdom,11000000.0,2800000.0,1965.0
toy story 3,Lee Unkrich,Walt Disney Pictures Pixar Animation Studios,Tom Hanks,Tim Allen,Ned Beatty,103.0,Animation Family Comedy,English Español,United States of America,200000000.0,1066969703.0,2010.0
joan rivers: a piece of work,Ricki Stern Anne Sundberg,Break Thru Films,Joan Rivers,Melissa Rivers,Kathy Griffin,84.0,Documentary,English,United States of America,,,2010.0
no highway in the sky,Henry Koster,Twentieth Century Fox Film Corporation Twentieth Century-Fox Productions,James Stewart,Glynis Johns,Marlene Dietrich,98.0,Romance Drama,English,United States of America,,,1951.0
"east side, west side",Mervyn LeRoy,Metro-Goldwyn-Mayer (MGM),Barbara Stanwyck,James Mason,Van Heflin,108.0,Crime Drama Romance,English,United States of America,,,1949.0
adrift,Heitor Dhalia,O2 Filmes,Vincent Cassel,Camilla Belle,Laura Neiva,97.0,Drama,Português,Brazil,35000000.0,59945012.0,2009.0
in the beginning,Xavier Giannoli,France 3 Cinéma Studio 37 Rectangle Productions EuropaCorp,François Cluzet,Emmanuelle Devos,Gérard Depardieu,130.0,Drama,Français,France,16500000.0,34900000.0,2009.0
the halloween tree,Mario Piluso,Hanna-Barbera Productions,Ray Bradbury,Leonard Nimoy,Annie Barker,90.0,Family Animation TV Movie Adventure Drama,English,United States of America,,,1993.0
ricky gervais live 3: fame,Dominic Brigstocke,unknown,Ricky Gervais,unknown,unknown,79.0,Comedy,English,United Kingdom,,,2007.0
aladin,Sujoy Ghosh,unknown,Amitabh Bachchan,Sanjay Dutt,Ritesh Deshmukh,132.0,Fantasy Drama Romance Foreign,हिन्दी,India,,,2009.0
winter's bone,Debra Granik,Anonymous Content Winter's Bone Productions,Jennifer Lawrence,John Hawkes,Kevin Breznahan,100.0,Drama,English,United States of America,2000000.0,13831503.0,2010.0
tell-tale,Greg Williams,Walt Disney Pictures Jerry Bruckheimer Films Infinitum Nihil,Carla Gugino,Adam Arkin,Jesse Spencer,9.0,Adventure Action Fantasy,English,United States of America,230000000.0,795900000.0,2010.0
drama/mex,Gerardo Naranjo,Cinematografica Revolcadero Instituto Mexicano de Cinematografía Canana,Fernando Becerril,Juan Pablo Castaneda,Diana García,105.0,Drama Foreign Romance,Español,Mexico,,,2006.0
dream,Kim Ki-duk,Kim Ki-Duk Film Sponge Ent.,Joe Odagiri,Lee Na-young,Park Ji-ah ,95.0,Drama Science Fiction,한국어/조선말,South Korea Japan,6000000.0,608671.0,2008.0
don't look back,Marina de Van,Samsa Film Eurimages Wild Bunch Ex Nihilo Entre Chien et Loup Canal+ Agat Films & Cie TPS Star Radio Télévision Belge Francophone (RTBF) StudioUrania Programme MEDIA de la Communauté Européenne Film Fund Luxembourg Région Wallone Le Tax Shelter du Gouvernement Fédéral de Belgique Casa Kafka Pictures Banque Populaire Images 8 Ateliers de Baere Pôle Image de Liège Apulia Film Commission Regione Puglia Cinémage 2 Uni Étoile 5,Sophie Marceau,Monica Bellucci,Brigitte Catillon,110.0,Drama Horror Mystery,Français Italiano,France Italy Luxembourg Belgium,13000000.0,2651917.0,2009.0
mandingo,Richard Fleischer,Paramount Pictures Dino De Laurentiis Company,James Mason,Susan George,Ken Norton,127.0,History Action Romance Drama,English,United States of America,,,1975.0
clouds of may,Nuri Bilge Ceylan,NBC Ajans,Emin Ceylan,Muzaffer Özdemir,Fatma Ceylan,130.0,Comedy Drama,Türkçe,Turkey,,,1999.0
les biches,Claude Chabrol,Alexandra Films,Jean-Louis Trintignant,Jacqueline Sassard,Stéphane Audran,100.0,Drama Romance Foreign,Français,Italy France,,,1968.0
the scalphunters,Sydney Pollack,Bristol Films Norlan Productions,Burt Lancaster,Shelley Winters,Telly Savalas,102.0,Action Comedy Western,English,United States of America,,,1968.0
nekromantik 2,Jörg Buttgereit,Jelinski & Buttgereit,Monika M.,Mark Reeder,Beatrice Manowski,104.0,Horror,English Deutsch,Germany,,,1991.0
barking dogs never bite,Bong Joon-ho,CJ Entertainment,Lee Sung-jae,Bae Doona,Byun Hee-bong,106.0,Comedy,한국어/조선말,South Korea,,,2000.0
a man there was,Victor Sjöström,Svenska Biografteatern AB,Victor Sjöström,Bergliot Husberg,August Falck,55.0,Drama,unknown,Sweden,,,1917.0
shark in venice,Danny Lerner,Millenium Films Venice Sharks,Stephen Baldwin,Vanessa Johansson,Hilda van der Meulen,88.0,Horror,English,United States of America,,,2008.0
casino jack and the united states of money,Alex Gibney,Magnolia Pictures Jigsaw Productions Participant Media,Jack Abramoff,Tom DeLay,Bob Ney,118.0,Documentary,English,United States of America,,,2010.0
under the north star,Timo Koivusalo,Artista Filmi,Ilkka Koivula,Vera Kiiskinen,Risto Tuorila,193.0,Drama History,suomi,Finland,6153120.0,,2009.0
shrek forever after,Mike Mitchell,DreamWorks Animation,Mike Myers,Eddie Murphy,Cameron Diaz,93.0,Comedy Adventure Fantasy Animation Family,English,United States of America,165000000.0,752600867.0,2010.0
the open road,Michael Meredith,unknown,Justin Timberlake,Jeff Bridges,Kate Mara,90.0,Comedy Drama Romance,English Polski,United States of America,,,2009.0
magic man,Stuart Cooper,Hollywood Storm,Billy Zane,Alexander Nevsky,Robert Davi,90.0,Drama Thriller,English,United States of America,,,2009.0
a sense of history,Mike Leigh,Thin Man Films,Jim Broadbent,Stephen Bill,Belinda Bradley,22.0,Drama Comedy,English,United Kingdom,,,1992.0
a hot dog program,Rick Sebak,WQED,Rick Sebak,Rochelle Aytes,Benjy Bronk,60.0,Documentary,English,United States of America,,,1999.0
the ashes,Andrzej Wajda,Film Polski,Daniel Olbrychski,Boguslaw Kierc,Piotr Wysocki,234.0,War Drama,Polski,Poland,,,1965.0
everyone else,Maren Ade,WDR Arte Komplizen Film SWR,Birgit Minichmayr,Lars Eidinger,Hans-Jochen Wagner,119.0,Drama Romance,Italiano Deutsch,Germany,,2634462.0,2009.0
rampage,Uwe Boll,Boll Kino Beteiligungs GmbH & Co. KG Brightlight Pictures Pitchblack Pictures Inc. Event Film Distribution Amok Productions,Brendan Fletcher,Shaun Sipos,Michael Paré,85.0,Action Drama Crime Thriller,English,Canada Germany,120000000.0,428028233.0,2009.0
coming down the mountain,Julie Anne Robinson,Columbia Pictures,Nicholas Hoult,Tommy Jessop,Julia Ford,80.0,Drama,Chinese,China,,,2007.0
princess raccoon,Seijun Suzuki,Nippon Herald Films DENTSU Music And Entertainment Geneon Entertainment Shochiku Company Dentsu Eisei Gekijo Ogura Jimusyo Co.,Zhang Ziyi,Joe Odagiri,Hiroko Yakushimaru,111.0,Fantasy Drama Comedy,日本語,Japan,,,2005.0
heat-haze theatre,Seijun Suzuki,Cinema Placet,Yûsaku Matsuda,Michiyo Ohkusu,Eriko Kusuda,139.0,Mystery Fantasy Thriller Horror,日本語,Japan,,,1981.0
children in the wind,Hiroshi Shimizu,Shôchiku Eiga,Reikichi Kawamura,Masao Hayama,Masao Hayama,88.0,Drama,日本語,Japan,,,1937.0
the killer inside me,Michael Winterbottom,Revolution Films Indion Entertainment Group,Casey Affleck,Kate Hudson,Jessica Alba,109.0,Crime Drama Thriller,English,United States of America,13000000.0,3977192.0,2010.0
the wild hunt,Alexandre Franchi,unknown,Kyle Gatehouse,Trevor Hayes,Kaniehtiio Horn,96.0,Action Adventure Comedy Drama Science Fiction Thriller,English,Canada,250000.0,,2009.0
acla's descent into floristella,Aurelio Grimaldi,Penta Films Cineuropa 92 Nova Films,Francesco Cusimano,Tony Sperandeo,Luigi Maria Burruano,86.0,Drama,Italiano,Italy,,,1992.0
j'accuse!,Abel Gance,Pathé Frères,Romuald Joubé,Séverin-Mars,Maryse Dauvray,166.0,War Drama,France,France,,,1919.0
the moment after 2: the awakening,Wes Llewellyn,unknown,David A.R. White,Kevin Downes,Brad Heller,93.0,Science Fiction Thriller,English,United States of America,,,2006.0
mercy streets,Jon Gunn,unknown,Eric Roberts,David A.R. White,Cynthia Watros,106.0,Action Adventure Drama,English,unknown,600000.0,173599.0,2000.0
the guitar,Amy Redford,Apple Creek Productions Cold Fusion Media Group Artists / Media Cooperation Breakout Pictures RedGuitar,Saffron Burrows,Isaach De Bankolé,Paz de la Huerta,95.0,Romance Drama Music,English 普通话 ਪੰਜਾਬੀ,United States of America,,,2008.0
timer,Jac Schaeffer,Present Pictures,Emma Caulfield,Michelle Borth,John Patrick Amedori,99.0,Fantasy Drama Comedy Science Fiction Romance,English,United States of America,,,2009.0
the trespasser,Edmund Goulding,Gloria Productions,Gloria Swanson,Robert Ames,Purnell Pratt,90.0,Drama,English,United States of America,,,1929.0
a woman of affairs,Clarence Brown,Metro-Goldwyn-Mayer (MGM),Greta Garbo,John Gilbert,Lewis Stone,91.0,Drama,English,United States of America,383000.0,,1928.0
chelsea on the rocks,Abel Ferrara,unknown,Ethan Hawke,Gaby Hoffmann,Dennis Hopper,88.0,Documentary,English,United States of America,,,2008.0
heart like a wheel,Jonathan Kaplan,Twentieth Century Fox Film Corporation Michael Nolin Aurora,Bonnie Bedelia,Beau Bridges,Leo Rossi,113.0,Drama,English,United States of America,,,1983.0
little dorrit,Christine Edzard,Sands Films,Derek Jacobi,Joan Greenwood,Max Wall,357.0,Drama,English,United Kingdom,,,1987.0
saving god,Duane Crichton,Cloud Ten Pictures Clear Entertainment,Ving Rhames,Ricardo Chavira,Dean McDermott,101.0,Drama,English Português,Canada,,,2008.0
24: redemption,Jon Cassar,Imagine Television Teakwood Lane Productions Real Time Productions,Kiefer Sutherland,Cherry Jones,Bob Gunton,102.0,Action Adventure Crime,English,United States of America South Africa,,,2008.0
captain from castile,Henry King,Twentieth Century Fox Film Corporation,Tyrone Power,Jean Peters,Cesar Romero,140.0,Action Romance,English,United States of America,4500000.0,,1947.0
one of our aircraft is missing,Emeric Pressburger Michael Powell,The Archers British National Films,Godfrey Tearle,Eric Portman,Hugh Williams,102.0,Action War Drama,Nederlands English Français Deutsch Latin,United Kingdom,,,1942.0
diary of a mad housewife,Frank Perry,Frank Perry Films Inc.,Richard Benjamin,Frank Langella,Carrie Snodgress,95.0,Comedy Drama,English,United States of America,,6100000.0,1970.0
best worst movie,Michael Stephenson,OJO Entertainment,Michael Stephenson,George Hardy,Darren Ewing,93.0,Documentary Comedy,English Italiano,United States of America Iceland Italy United Kingdom,,,2009.0
beetle queen conquers tokyo,Jessica Oreck,Myriapod Productions,Haruku Shinozaki,Takeshi Yoro,Rin Katsuta,90.0,Documentary,日本語 English,Japan United States of America,,10068.0,2009.0
the deal,Stephen Frears,Electric Entertainment Balkanic Media LinLay Productions,David Morrissey,Matt Blair,Michael Sheen,90.0,Comedy Drama Foreign Romance Thriller,English,United Kingdom,,,2003.0
the special relationship,Richard Loncraine,BBC Film HBO Films,Michael Sheen,Dennis Quaid,Hope Davis,93.0,TV Movie Drama History,English,United Kingdom United States of America,,,2010.0
three comrades,Frank Borzage,Metro-Goldwyn-Mayer (MGM),Robert Taylor,Margaret Sullavan,Franchot Tone,98.0,Drama Romance,English Español,United States of America,,,1938.0
the twilight saga: eclipse,David Slade,Summit Entertainment Maverick Films Imprint Entertainment Sunswept Entertainment Temple Hill Entertainment,Kristen Stewart,Robert Pattinson,Taylor Lautner,124.0,Adventure Fantasy Drama Romance,English,United States of America,68000000.0,698491347.0,2010.0
solitary man,Brian Koppelman David Levien,Smartest Man Productions Millennium Films Paul Schiff Productions,Michael Douglas,Danny DeVito,Jesse Eisenberg,90.0,Comedy Drama Romance,English,United States of America,15000000.0,5024782.0,2009.0
hannah free,Wendy Jo Carlton,unknown,Kelli Strickland,Ann Hagemann,Maureen Gallagher,86.0,Drama Romance,English,United States of America,,,2009.0
bluebeard,Catherine Breillat,Barnabe Gloria Films Geiselgasteig Film,Dominique Thomas,Lola Créton,Daphné Baiwir,80.0,Fantasy Drama Thriller Foreign,Français,France,,,2009.0
wing and a prayer,Henry Hathaway,Twentieth Century Fox Film Corporation,Don Ameche,Dana Andrews,William Eythe,97.0,War Action Drama,English,United States of America,18000000.0,,1944.0
tomorrow at dawn,Denis Dercourt,France 3 Cinéma Diaphana Films,Vincent Pérez,Jérémie Renier,Anne Marivin,94.0,Thriller Drama,Français,France,,,2009.0
enter the void,Gaspar Noé,BIM Distribuzione Wild Bunch,Nathaniel Brown,Paz de la Huerta,Cyril Roy,161.0,Fantasy Drama,English 日本語,Canada France Germany Italy,13000000.0,754249.0,2009.0
the cry of the owl,Jamie Thraves,MACT Productions Myriad Pictures Sienna Films Studio Hamburg International Production (SHIP),Paddy Considine,Julia Stiles,Caroline Dhavernas,101.0,Drama,English,Canada Germany France United Kingdom,11500000.0,,2009.0
dream wife,Sidney Sheldon,Metro-Goldwyn-Mayer (MGM),Cary Grant,Deborah Kerr,Walter Pidgeon,100.0,Comedy Romance,English,United States of America,,,1953.0
the slender thread,Sydney Pollack,Paramount Pictures Stephen Alexander Productions,Sidney Poitier,Anne Bancroft,Telly Savalas,98.0,Drama,English,United States of America,,,1965.0
accident on hill road,Mahesh Nair,unknown,Farooq Shaikh,Abhimanyu Singh,Celina Jaitley,104.0,Foreign Thriller,हिन्दी,India,,,2009.0
tennessee,Aaron Woodley,Lee Daniels Entertainment,Adam Rothenberg,Ethan Peck,Lance Reddick,99.0,Comedy Drama Adventure,English,United States of America,,,2008.0
the last airbender,M. Night Shyamalan,"Paramount Pictures Nickelodeon Movies Kennedy/Marshall Company, The Industrial Light & Magic (ILM) Blinding Edge Pictures",Noah Ringer,Nicola Peltz,Jackson Rathbone,103.0,Action Adventure Family Fantasy,English,United States of America,150000000.0,318502923.0,2010.0
when father was away on business,Emir Kusturica,Forum Sarajevo Centar Film Sutjeska Film,Predrag 'Miki' Manojlović,Mirjana Karanović,Mustafa Nadarević,136.0,Drama,sh,Bosnia and Herzegovina Serbia,,,1985.0
a big hand for the little lady,Fielder Cook,Eden Productions Inc.,Henry Fonda,Joanne Woodward,Jason Robards,95.0,Western,English,United States of America,,,1966.0
state of siege,Costa-Gavras,Euro-International Film Dieter Geissler Filmproduktion Reggane Films Unidis,Yves Montand,Renato Salvatori,O.E. Hasse,122.0,Drama Thriller,Français,France Germany Italy,,,1972.0
